method,frame,roi_id,source_x1,source_y1,source_x2,source_y2,canvas_x1,canvas_y1,canvas_x2,canvas_y2,status,log_fft_magnitude_similarity,high_frequency_energy_ratio,high_frequency_log_ratio_abs,orientation_histogram_intersection,band_energy_ratio,band_log_ratio_abs,reference_high_frequency_energy,normalized_high_frequency_energy,peak_position_error_px,peak_radius_error,peak_angle_error_deg,peak_energy_delta_db,peak_energy_delta_abs_db,peak_width_log_ratio_abs
frame_wise,148,roi_1,1237.3732597846074,1041.7966903073286,1833.6432886787497,1211.2214342001578,392,419,781,544,ok,0.8808790469743155,0.8128084882814236,0.20725975895282456,0.9633400225187506,0.7869987323276648,0.23952864133138713,33387.01982536497,27137.25311247682,1.0,0.00436771740422337,1.4330640673261001,-1.8267323546865795,1.8267323546865795,0.08232130858136164
frame_wise,148,roi_2,2072.676648279485,1054.9303913842923,2345.8576306803257,1192.8342526924089,932,447,1114,544,ok,0.8665134084509996,0.706748509792578,0.3470803909461,0.9449504459832063,0.6846056135054489,0.3789123532330656,6299.33901925347,4452.048464535629,1.4142135623730951,0.017014655916905874,2.3613746581756203,-3.0555506844709504,3.0555506844709504,0.19455568766945688
frame_wise,148,roi_3,1667.9751724406312,1545.779168977225,1861.7884695833216,1658.2668865345513,658,760,788,842,ok,0.885764332133704,1.2670415512265318,0.23668469577089712,0.9526330177220401,1.2056665838178162,0.18703259558563337,15481.591581886092,19615.819813368573,1.0,0.024355623258124015,0.08127055473377709,1.205102724427966,1.205102724427966,0.03137029535906678
frame_wise,223,roi_1,1276.262732393544,686.2315033709833,1762.392084756151,833.0735779120334,430,194,743,298,ok,0.8682350649238352,0.7470897774452027,0.2915699170745824,0.9179854291643259,0.7514843041190578,0.28570495607634294,10761.96822332964,8040.156444839684,62.96824596572466,0.265045636764506,84.64933757625042,-8.590570644594798,8.590570644594798,0.570862098415981
frame_wise,223,roi_2,2071.3153644845274,673.9972176011051,2342.653980484294,814.6068645477629,937,202,1115,298,ok,0.8663548332980056,1.0897465043846892,0.08594510440898041,0.9158806285272487,1.0957102542814054,0.09140278704326786,3547.9639201992322,3866.381279720112,1.0,0.02066732868788812,0.22736301099055822,-2.6198834398494064,2.6198834398494064,0.015681588758603017
frame_wise,223,roi_3,1654.104816663263,1174.5735925050346,1843.3578009320076,1283.2610493340728,658,515,784,592,ok,0.8820394860000639,0.5508935875582429,0.5962136145090526,0.942749657888356,0.6861972597532989,0.37659014193023377,33660.61633726419,18543.41769345707,1.0,0.001024404243752386,1.505351745408376,-2.698255504402303,2.698255504402303,0.07796580848054181
frame_wise,297,roi_1,2193.2939322301027,1118.3577036453316,2446.8473280214807,1284.3530922569535,947,516,1118,634,ok,0.878476465242868,0.909173453868328,0.09521938467116686,0.9563148122782356,0.907734178568357,0.0968036981225833,167536.3748434605,152319.62456500786,0.0,0.0,0.0,-0.39062528820268916,0.39062528820268916,0.05681678727061071
frame_wise,297,roi_2,2124.2582377491754,696.46207278989,2427.646732627032,818.6054928056504,909,241,1109,327,ok,0.8643321378248986,0.8024603216317264,0.22007286864989586,0.9552762974252446,0.8436787545004714,0.16998347947113232,2888.223291306713,2317.684591286228,1.4142135623730951,0.02000610554605675,2.405970516645297,-2.5306247390118215,2.5306247390118215,0.008273161248071297
frame_wise,297,roi_3,1673.7722908093276,750.3102472054403,1916.7457607331523,839.619414528792,617,266,776,330,ok,0.8517451522036569,1.0547797572327249,0.05333198421758801,0.9407467532336274,1.2465448623656894,0.22037561400024452,421.0003474302939,444.06264425741824,1.0,0.031102245858975253,0.27026110649411805,-1.6873997996258523,1.6873997996258523,0.09584420819562925
optical_flow,148,roi_1,1237.3732597846074,1041.7966903073286,1833.6432886787497,1211.2214342001578,392,419,781,544,ok,0.7915241454553973,5.9697997170204795,1.7867133786039804,0.9173401271787981,10.388127762358016,2.3406635927581787,33387.01982536497,199313.82150562096,27.85677655436824,0.43724057269557765,15.124007308310553,9.720048393959452,9.720048393959452,0.4595524444500181
