method,roi_count,log_fft_magnitude_similarity_median,high_frequency_energy_ratio_median,high_frequency_log_ratio_abs_median,orientation_histogram_intersection_median,band_energy_ratio_median,band_log_ratio_abs_median,peak_position_error_px_median,peak_radius_error_median,peak_angle_error_deg_median,peak_energy_delta_db_median,peak_energy_delta_abs_db_median,peak_width_log_ratio_abs_median
frame_wise,9,0.8682350649238352,0.8128084882814236,0.22007286864989586,0.9449504459832063,0.8436787545004714,0.22037561400024452,1.0,0.02000610554605675,1.4330640673261001,-2.5306247390118215,2.5306247390118215,0.07796580848054181
optical_flow,9,0.8289888462000924,5.683373532591262,1.7375449882196146,0.9173401271787981,17.41205523306822,2.857162795811612,21.37755832643195,0.12796947217903087,6.519801751656985,7.219334011304675,7.219334011304675,0.4595524444500181
proposal_border,9,0.8783412314098802,0.8820619524702384,0.12549298454616,0.9484000474291364,0.8040982159761803,0.21803385808964149,1.0,0.01545967384485436,0.08127055473377709,-0.5343855738378462,0.5343855738378462,0.1059095862036536
