category,clip_id,method,processed_frames,elapsed_seconds,tracker_rows,tracker_accepted,tracker_accept_ratio,interior_rejected_frames,estimated_corners_sha256,corner_rmse_px,quad_iou,translation_px,edge_preservation_index,aspect_relative_error,rotation_abs_deg,scale_abs_delta,gradient_magnitude_ratio,fft_orthogonality_error_deg
hard,hard_01,proposed,348,36.396349000002374,348,2,0.005747126436781609,0,9cd6f85c8e68a99af600ddb4f3afa36dc0aa3fddaa45b4196ea57ac1eb797ca6,129.91605186462402,0.8886389257015538,0.018061029357133534,0.1970622551202276,0.008424567411973869,0.0003176132802707211,1.257645916157105e-05,1.1599067026195957,2.090909090909091
hard,hard_01,no_reliability_gates,348,35.30962869999348,348,348,1.0,0,8a935f6c550b5a299813069a516e6548dde039011d168af44bc0fbdb7b635d14,89.51560163497925,0.9301952214248519,7.441713770295548,0.5239174559877877,0.017673588592023656,0.041523887718146676,0.004711967329684624,1.0657124524611654,0.0
hard,hard_01,no_trajectory_smoothing,348,39.04936269999598,348,2,0.005747126436781609,0,06aa920b1b30d9595669e740c5a6a06c596fcf82e882b060bb62748e191cd809,129.91614723205566,0.8886389257015538,0.03228710986613518,0.2407650006605171,0.008424600412839489,0.0005737393773775367,2.2524215757197962e-05,1.1530360862776796,1.9090909090909092
hard,hard_01,no_offline_repair,348,39.86592280000332,348,2,0.005747126436781609,0,9cd6f85c8e68a99af600ddb4f3afa36dc0aa3fddaa45b4196ea57ac1eb797ca6,129.91605186462402,0.8886389257015538,0.018061029357133534,0.1970622551202276,0.008424567411973869,0.0003176132802707211,1.257645916157105e-05,1.1599067026195957,2.090909090909091
screen_video,screen_video_03_000,proposed,660,98.10953769998741,660,660,1.0,0,2e0d58492eaf96cace765e0790e3e7c7ffc606954c4814c4d855c128430994ae,4.627076029777527,0.9963452291910224,3.9075504170075375,0.8627889186401149,0.0010986170607804836,0.014776474467862323,0.0006674849440511637,0.943686643998203,0.047619047619047616
screen_video,screen_video_03_000,no_reliability_gates,660,78.88083690000349,660,660,1.0,0,72c89c68235c20c9f9f38ca6444b11ca64a183ff58ad2ae6c03ec13ca49785f6,4.5854379534721375,0.9965902782829332,3.933332584592281,0.8633168298416498,0.0011945225256631954,0.014850687781970271,0.0006781820594775833,0.9415650488695283,0.0
screen_video,screen_video_03_000,no_trajectory_smoothing,660,97.13487650000025,660,660,1.0,0,fde0ad978f3263f38d6025356c75a42100230db0d3e5f215c399cd3001a72129,3.4148672223091125,0.9972506337136262,4.080191664445817,0.8930702876155104,0.0011185090880344243,0.015834591915764758,0.0007788093816374774,0.9439880967142242,0.047619047619047616
screen_video,screen_video_03_000,no_offline_repair,660,100.57401599999866,660,660,1.0,0,772df9bea11da799edf865610d2468b39410a722495bb6525da75c059ab61ec9,4.613244414329529,0.9962880977739571,3.911025657938008,0.8642592180505488,0.0010475415543954657,0.014805543808606299,0.0006679298548581642,0.943622021163516,0.047619047619047616
scrolling,scrolling_03_000,proposed,660,81.17154749999463,660,227,0.34393939393939393,0,ab7d4d6764c1250f07ff97b64691508fb0dd53c05e6d949892e592f8b5bc3fa6,715.8581085205078,0.489791868193366,1.4651741294031566,0.3451927696090606,0.011531213297243074,0.000963174144639106,0.0001098524794051101,0.8111424441342887,0.9523809523809523
scrolling,scrolling_03_000,no_reliability_gates,660,94.34455530002015,660,657,0.9954545454545455,3,b8dd769893cc0e839f4b5e6125d831e9b684ac8a92510771bb3913017b58fd2e,910.4346923828125,0.39196076602466834,9.0108794470593,0.3284014187061325,0.02757195115752839,0.020369429427547,0.002570025168271507,0.7328370485014211,0.09523809523809523
scrolling,scrolling_03_000,no_trajectory_smoothing,660,91.15687410000828,660,227,0.34393939393939393,0,82930c36d82e0c467f53dce9d37536b1b8a101b95ba1327620bca0413716c170,715.7435455322266,0.48982054415492976,1.6438448861188084,0.3909602240395082,0.011459451001940714,0.0032548318248703956,0.00039121495229907626,0.8089151465193014,0.9523809523809523
scrolling,scrolling_03_000,no_offline_repair,660,88.6508296999964,660,227,0.34393939393939393,0,ab7d4d6764c1250f07ff97b64691508fb0dd53c05e6d949892e592f8b5bc3fa6,715.8581085205078,0.489791868193366,1.4651741294031566,0.3451927696090606,0.011531213297243074,0.000963174144639106,0.0001098524794051101,0.8111424441342887,0.9523809523809523
static,static_02_000,proposed,1309,174.86468929999683,1309,1309,1.0,0,a283388fe5b4091525b5cb29f9d320d44d4b66e3e9ff61ce110ac7f17f29d8f6,7.123702824115753,0.9916342966931159,5.132553992322718,0.7167630504837471,0.002647511088525856,0.04823743121779709,0.0013187129074088062,0.9518566447192546,0.0
static,static_02_000,no_reliability_gates,1309,172.10665899998276,1309,1309,1.0,0,e67dbfccb5ddf7e72aea357cc12f2b2278e31d464d91619eb6e3f16ec1f08f66,7.531142890453339,0.9914517742398594,5.166024900402774,0.7107995889412729,0.002121720697116706,0.0484613551175026,0.001341055442721097,0.9494838500709264,0.0
static,static_02_000,no_trajectory_smoothing,1309,291.97095550000085,1309,1309,1.0,0,4cb4e07c9dbf9fd1189dfb83a64c454d16096fa4db943c10e4697f43141b9dfb,7.120779991149902,0.9921929987498932,5.656764567732357,0.7798186725231547,0.003188818836662944,0.05825051633869032,0.0019796863065573165,0.9592590036391961,0.0
static,static_02_000,no_offline_repair,1309,256.2418948999839,1309,1309,1.0,0,a283388fe5b4091525b5cb29f9d320d44d4b66e3e9ff61ce110ac7f17f29d8f6,7.123702824115753,0.9916342966931159,5.132553992322718,0.7167630504837471,0.002647511088525856,0.04823743121779709,0.0013187129074088062,0.9518566447192546,0.0
