method,n_clips,corner_rmse_px_median,corner_rmse_px_iqr,corner_rmse_px_degradation_median,quad_iou_median,quad_iou_iqr,quad_iou_degradation_median,translation_px_median,translation_px_iqr,translation_px_degradation_median,edge_preservation_index_median,edge_preservation_index_iqr,edge_preservation_index_degradation_median
proposed,4,68.51987734436989,269.9020199030638,0.0,0.9401366111973348,0.20388486849308574,0.0,2.686362273205347,3.110405456444682,0.0,0.5309779100464038,0.44510937653598664,0.0
no_reliability_gates,4,48.52337226271629,287.9506576657295,0.18290099501609802,0.9608234978323557,0.1970997926758219,-3.1263319327179406e-05,6.303869335349161,2.9761533680363357,3.728561824509235,0.6173585224645304,0.27389045249899324,0.0027177751704696163
no_trajectory_smoothing,4,68.51846361160278,270.1786950081587,-0.058742910623550415,0.9404159622257235,0.20452307717592866,-0.0002936890091705391,2.8620182752823125,3.2333794482118114,0.17565600207696552,0.5853894482813314,0.45472015810148325,-0.04473509998536855
no_offline_repair,4,68.51987734436989,269.9054778069258,0.0,0.9401366111973348,0.20387058563881943,0.0,2.688099893670582,3.1130118871425347,0.0,0.5309779100464038,0.44547695138859517,0.0
