category,clip_id,method,metric,status,reason,sampled_frames,has_reference,rows,ok_rows,normalized_gradient_mean_mean,normalized_gradient_mean_p50,normalized_gradient_mean_p95,normalized_gradient_mean_max,reference_gradient_mean_mean,reference_gradient_mean_p50,reference_gradient_mean_p95,reference_gradient_mean_max,gradient_magnitude_ratio_mean,gradient_magnitude_ratio_p50,gradient_magnitude_ratio_p95,gradient_magnitude_ratio_max,normalized_edge_density_mean,normalized_edge_density_p50,normalized_edge_density_p95,normalized_edge_density_max,reference_edge_density_mean,reference_edge_density_p50,reference_edge_density_p95,reference_edge_density_max,edge_precision_mean,edge_precision_p50,edge_precision_p95,edge_precision_max,edge_recall_mean,edge_recall_p50,edge_recall_p95,edge_recall_max,edge_preservation_index_mean,edge_preservation_index_p50,edge_preservation_index_p95,edge_preservation_index_max
hard,hard_01,frame_wise,detail,ok,,5,True,5,5,0.032467440143227576,0.03182825818657875,0.03689366057515144,0.03794266656041145,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.9413073508687594,0.9592627892680928,1.0337385132949664,1.0342045679018113,0.006252121913580247,0.0064438657407407405,0.006608024691358025,0.006615547839506173,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.38761583730382193,0.25537764839074883,0.824030638864401,0.9524539877300614,0.43651968771203,0.3041093054549219,0.818782284906937,0.9287371561153464,0.40854371293866015,0.27476220507276417,0.8206036348080654,0.9404460687465697
hard,hard_01,optical_flow,detail,ok,,5,True,5,5,0.03278884291648865,0.03231748193502426,0.0404314823448658,0.042373016476631165,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.943657426108461,0.9894986264246778,1.0326995596902877,1.0374628466750562,0.006607831790123457,0.0062683256172839505,0.008079571759259259,0.00828173225308642,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.4485821313228618,0.43599015233112787,0.8555837889474412,0.9545650487110958,0.5214720495838188,0.5167674546454095,0.8456279543752294,0.9188763672522373,0.4783174990298432,0.47295454713943774,0.8494799790645504,0.9363807768865656
hard,hard_01,proposed,detail,ok,,5,True,5,5,0.03901163786649704,0.03659730404615402,0.04712176471948624,0.0486464723944664,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,1.1429289519436545,1.1864870859506855,1.3971962884330922,1.4487297544575006,0.007750964506172839,0.007686149691358024,0.009294077932098766,0.00933690200617284,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.18571717671980267,0.0611022157946387,0.5757908769440326,0.7043058781490084,0.20606800212447424,0.09089151034616129,0.540693960117043,0.6447630096121976,0.19107123074277965,0.0717242423599524,0.5549674759185257,0.6732204438225795
hard,hard_02,frame_wise,detail,ok,,5,True,5,5,0.032467440143227576,0.03182825818657875,0.03689366057515144,0.03794266656041145,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.9413073508687594,0.9592627892680928,1.0337385132949664,1.0342045679018113,0.006252121913580247,0.0064438657407407405,0.006608024691358025,0.006615547839506173,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.38761583730382193,0.25537764839074883,0.824030638864401,0.9524539877300614,0.43651968771203,0.3041093054549219,0.818782284906937,0.9287371561153464,0.40854371293866015,0.27476220507276417,0.8206036348080654,0.9404460687465697
hard,hard_02,optical_flow,detail,ok,,5,True,5,5,0.03278884291648865,0.03231748193502426,0.0404314823448658,0.042373016476631165,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.943657426108461,0.9894986264246778,1.0326995596902877,1.0374628466750562,0.006607831790123457,0.0062683256172839505,0.008079571759259259,0.00828173225308642,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.4485821313228618,0.43599015233112787,0.8555837889474412,0.9545650487110958,0.5214720495838188,0.5167674546454095,0.8456279543752294,0.9188763672522373,0.4783174990298432,0.47295454713943774,0.8494799790645504,0.9363807768865656
hard,hard_02,proposed,detail,ok,,5,True,5,5,0.03901163786649704,0.03659730404615402,0.04712176471948624,0.0486464723944664,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,1.1429289519436545,1.1864870859506855,1.3971962884330922,1.4487297544575006,0.007750964506172839,0.007686149691358024,0.009294077932098766,0.00933690200617284,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.18571717671980267,0.0611022157946387,0.5757908769440326,0.7043058781490084,0.20606800212447424,0.09089151034616129,0.540693960117043,0.6447630096121976,0.19107123074277965,0.0717242423599524,0.5549674759185257,0.6732204438225795
hard,hard_03,frame_wise,detail,ok,,5,True,5,5,0.032467440143227576,0.03182825818657875,0.03689366057515144,0.03794266656041145,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.9413073508687594,0.9592627892680928,1.0337385132949664,1.0342045679018113,0.006252121913580247,0.0064438657407407405,0.006608024691358025,0.006615547839506173,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.38761583730382193,0.25537764839074883,0.824030638864401,0.9524539877300614,0.43651968771203,0.3041093054549219,0.818782284906937,0.9287371561153464,0.40854371293866015,0.27476220507276417,0.8206036348080654,0.9404460687465697
hard,hard_03,optical_flow,detail,ok,,5,True,5,5,0.03278884291648865,0.03231748193502426,0.0404314823448658,0.042373016476631165,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.943657426108461,0.9894986264246778,1.0326995596902877,1.0374628466750562,0.006607831790123457,0.0062683256172839505,0.008079571759259259,0.00828173225308642,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.4485821313228618,0.43599015233112787,0.8555837889474412,0.9545650487110958,0.5214720495838188,0.5167674546454095,0.8456279543752294,0.9188763672522373,0.4783174990298432,0.47295454713943774,0.8494799790645504,0.9363807768865656
hard,hard_03,proposed,detail,ok,,5,True,5,5,0.03901163786649704,0.03659730404615402,0.04712176471948624,0.0486464723944664,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,1.1429289519436545,1.1864870859506855,1.3971962884330922,1.4487297544575006,0.007750964506172839,0.007686149691358024,0.009294077932098766,0.00933690200617284,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.18571717671980267,0.0611022157946387,0.5757908769440326,0.7043058781490084,0.20606800212447424,0.09089151034616129,0.540693960117043,0.6447630096121976,0.19107123074277965,0.0717242423599524,0.5549674759185257,0.6732204438225795
hard,hard_04,frame_wise,detail,ok,,5,True,5,5,0.032467440143227576,0.03182825818657875,0.03689366057515144,0.03794266656041145,0.0350711889564991,0.031882401555776596,0.042943818122148515,0.04346904158592224,0.9413073508687594,0.9592627892680928,1.0337385132949664,1.0342045679018113,0.006252121913580247,0.0064438657407407405,0.006608024691358025,0.006615547839506173,0.0051059992283950615,0.004987461419753087,0.005708526234567901,0.0058198302469135805,0.38761583730382193,0.25537764839074883,0.824030638864401,0.9524539877300614,0.43651968771203,0.3041093054549219,0.818782284906937,0.9287371561153464,0.40854371293866015,0.27476220507276417,0.8206036348080654,0.9404460687465697
