"metric","category","clip_id","method","status","reason"
"geometry","static","static_10","proposed","ok",
"geometry","weak_border","weak_border_01","frame_wise","ok",
"geometry","weak_border","weak_border_01","optical_flow","ok",
"geometry","weak_border","weak_border_01","proposed","ok",
"geometry","weak_border","weak_border_02","frame_wise","ok",
"geometry","weak_border","weak_border_02","optical_flow","ok",
"geometry","weak_border","weak_border_02","proposed","ok",
"geometry","weak_border","weak_border_03","frame_wise","ok",
"geometry","weak_border","weak_border_03","optical_flow","ok",
"geometry","weak_border","weak_border_03","proposed","ok",
"geometry","weak_border","weak_border_04","frame_wise","ok",
"geometry","weak_border","weak_border_04","optical_flow","ok",
"geometry","weak_border","weak_border_04","proposed","ok",
"geometry","weak_border","weak_border_05","frame_wise","ok",
"geometry","weak_border","weak_border_05","optical_flow","ok",
"geometry","weak_border","weak_border_05","proposed","ok",
"geometry","weak_border","weak_border_06","frame_wise","ok",
"geometry","weak_border","weak_border_06","optical_flow","ok",
"geometry","weak_border","weak_border_06","proposed","ok",
"geometry","weak_border","weak_border_07","frame_wise","ok",
"geometry","weak_border","weak_border_07","optical_flow","ok",
"geometry","weak_border","weak_border_07","proposed","ok",
"geometry","weak_border","weak_border_08","frame_wise","ok",
"geometry","weak_border","weak_border_08","optical_flow","ok",
"geometry","weak_border","weak_border_08","proposed","ok",
"geometry","weak_border","weak_border_09","frame_wise","ok",
"geometry","weak_border","weak_border_09","optical_flow","ok",
"geometry","weak_border","weak_border_09","proposed","ok",
"geometry","weak_border","weak_border_10","frame_wise","ok",
"geometry","weak_border","weak_border_10","optical_flow","ok",
"geometry","weak_border","weak_border_10","proposed","ok",
"temporal","hard","hard_01","frame_wise","ok",
"temporal","hard","hard_01","optical_flow","ok",
"temporal","hard","hard_01","proposed","ok",
"temporal","hard","hard_02","frame_wise","ok",
"temporal","hard","hard_02","optical_flow","ok",
"temporal","hard","hard_02","proposed","ok",
"temporal","hard","hard_03","frame_wise","ok",
"temporal","hard","hard_03","optical_flow","ok",
"temporal","hard","hard_03","proposed","ok",
"temporal","hard","hard_04","frame_wise","ok",
"temporal","hard","hard_04","optical_flow","ok",
"temporal","hard","hard_04","proposed","ok",
"temporal","hard","hard_05","frame_wise","ok",
"temporal","hard","hard_05","optical_flow","ok",
"temporal","hard","hard_05","proposed","ok",
"temporal","hard","hard_06","frame_wise","ok",
"temporal","hard","hard_06","optical_flow","ok",
"temporal","hard","hard_06","proposed","ok",
"temporal","hard","hard_07","frame_wise","ok",
"temporal","hard","hard_07","optical_flow","ok",
"temporal","hard","hard_07","proposed","ok",
"temporal","hard","hard_08","frame_wise","ok",
"temporal","hard","hard_08","optical_flow","ok",
"temporal","hard","hard_08","proposed","ok",
"temporal","hard","hard_09","frame_wise","ok",
"temporal","hard","hard_09","optical_flow","ok",
"temporal","hard","hard_09","proposed","ok",
"temporal","hard","hard_10","frame_wise","ok",
"temporal","hard","hard_10","optical_flow","ok",
"temporal","hard","hard_10","proposed","ok",
"temporal","screen_video","screen_video_01","frame_wise","ok",
"temporal","screen_video","screen_video_01","optical_flow","ok",
"temporal","screen_video","screen_video_01","proposed","ok",
"temporal","screen_video","screen_video_02","frame_wise","ok",
"temporal","screen_video","screen_video_02","optical_flow","ok",
