metric,direction,method,n,median,q1,q3,mean,std
geometry,lower,frame_wise,10,30.290592432022095,14.072697848081589,33.395201683044434,49.76721226274967,84.32853577164131
geometry,lower,optical_flow,10,32.42984449863434,29.17445456981659,63.393301129341125,61.1043078660965,65.3956578162951
geometry,lower,proposed,10,158.9364881515503,3.467994451522827,202.6590142250061,210.73906058967114,271.78542713158583
temporal,lower,frame_wise,10,4.293750603359849,3.410068197386442,5.62440930157978,4.793514057166916,2.1925609622809237
temporal,lower,optical_flow,10,4.90645992179968,2.906627207511923,12.310836663696794,7.202959174581002,4.896080283990738
temporal,lower,proposed,10,2.9360890953477856,0.027000196345002572,3.798986299233718,2.2809762287017534,2.0628986666934943
