category,clip_id,method,metric,status,reason,annotation_frames,estimate_frames,matched_frames,rows,ok_rows,corner_rmse_px_mean,corner_rmse_px_p50,corner_rmse_px_p95,corner_rmse_px_max,corner_mean_px_mean,corner_mean_px_p50,corner_mean_px_p95,corner_mean_px_max,corner_max_px_mean,corner_max_px_p50,corner_max_px_p95,corner_max_px_max,quad_iou_mean,quad_iou_p50,quad_iou_p95,quad_iou_max,aspect_abs_error_mean,aspect_abs_error_p50,aspect_abs_error_p95,aspect_abs_error_max,aspect_relative_error_mean,aspect_relative_error_p50,aspect_relative_error_p95,aspect_relative_error_max,initialization_frame_excluded,annotation_frames_before_initialization_exclusion,annotation_frames_after_initialization_exclusion
hard,hard_01,frame_wise,geometry,ok,,4,300,4,4,4,8.977789044380188,9.62011432647705,10.335507440567017,10.375409126281738,8.201722145080566,8.594258308410645,9.457684803009032,9.575850486755371,13.221432209014893,13.222346305847168,17.352146530151366,17.924320220947266,0.9911906175502105,0.9907034459734928,0.9929137630886966,0.993279157957325,0.0055053914588866215,0.005379765334721509,0.007616429846576011,0.007954808598639174,0.0031618828697056066,0.0030789908265137457,0.004337504598006956,0.004541861859741589,True,5,4
hard,hard_01,optical_flow,geometry,ok,,4,300,4,4,4,27.789369106292725,24.90376853942871,44.58370084762573,47.75785446166992,23.79839062690735,20.79117774963379,39.223677158355706,42.07871627807617,45.22446632385254,41.742374420166016,69.3746124267578,73.8990707397461,0.9782555225582605,0.9820106238828372,0.9898152983707363,0.9903856553585394,0.014488268611912658,0.015571972475775242,0.020357657915684658,0.02061366565331424,0.00835693735278955,0.008875311963675525,0.011901054990266178,0.012139775642885636,True,5,4
hard,hard_01,proposed,geometry,ok,,4,300,4,4,4,191.82797813415527,172.26799774169922,291.0158508300781,306.137451171875,174.4897518157959,156.0461196899414,267.31165847778317,282.3852233886719,254.3366928100586,233.38224029541016,383.0447387695312,400.58935546875,0.8486554019093623,0.855956078907548,0.8953341360193757,0.8984993717478659,0.05487217568562597,0.0625499258452451,0.08961065674160437,0.08976197469297853,0.03210842198192434,0.036494904195422666,0.05276874710409726,0.052862516175522546,True,5,4
hard,hard_02,frame_wise,geometry,ok,,4,300,4,4,4,8.977789044380188,9.62011432647705,10.335507440567017,10.375409126281738,8.201722145080566,8.594258308410645,9.457684803009032,9.575850486755371,13.221432209014893,13.222346305847168,17.352146530151366,17.924320220947266,0.9911906175502105,0.9907034459734928,0.9929137630886966,0.993279157957325,0.0055053914588866215,0.005379765334721509,0.007616429846576011,0.007954808598639174,0.0031618828697056066,0.0030789908265137457,0.004337504598006956,0.004541861859741589,True,5,4
hard,hard_02,optical_flow,geometry,ok,,4,300,4,4,4,27.789369106292725,24.90376853942871,44.58370084762573,47.75785446166992,23.79839062690735,20.79117774963379,39.223677158355706,42.07871627807617,45.22446632385254,41.742374420166016,69.3746124267578,73.8990707397461,0.9782555225582605,0.9820106238828372,0.9898152983707363,0.9903856553585394,0.014488268611912658,0.015571972475775242,0.020357657915684658,0.02061366565331424,0.00835693735278955,0.008875311963675525,0.011901054990266178,0.012139775642885636,True,5,4
hard,hard_02,proposed,geometry,ok,,4,300,4,4,4,191.82797813415527,172.26799774169922,291.0158508300781,306.137451171875,174.4897518157959,156.0461196899414,267.31165847778317,282.3852233886719,254.3366928100586,233.38224029541016,383.0447387695312,400.58935546875,0.8486554019093623,0.855956078907548,0.8953341360193757,0.8984993717478659,0.05487217568562597,0.0625499258452451,0.08961065674160437,0.08976197469297853,0.03210842198192434,0.036494904195422666,0.05276874710409726,0.052862516175522546,True,5,4
screen_video,screen_video_01,frame_wise,geometry,ok,,4,300,4,4,4,30.396820545196533,30.66080379486084,31.092972183227538,31.149600982666016,17.90114116668701,17.893381118774414,18.361180686950682,18.395444869995117,60.239654541015625,60.9067497253418,61.912970542907715,62.05268859863281,0.9797983844258163,0.9796708654136149,0.9803966071609682,0.980474377534312,0.034306581510800904,0.0343567515370482,0.0355089614578174,0.03551551505088679,0.0195572724242454,0.019670078429364114,0.019995081203463452,0.020000085510476148,True,5,4
screen_video,screen_video_01,optical_flow,geometry,ok,,4,300,4,4,4,29.337695598602295,29.360478401184082,30.214080238342284,30.289445877075195,16.80013418197632,16.823835372924805,17.642434215545656,17.7359676361084,58.306833267211914,58.14799690246582,60.29043388366699,60.48625946044922,0.9806214963235034,0.9803461101466099,0.9815335966500331,0.9817275944483824,0.03393291700710338,0.03356876823814581,0.036778014323855836,0.03715427246039971,0.019337050720198857,0.018970240442582567,0.020728068399053116,0.020948700502987833,True,5,4
screen_video,screen_video_01,proposed,geometry,ok,,4,300,4,4,4,2.6873496770858765,2.6867507696151733,2.852820837497711,2.8745052814483643,2.4278997778892517,2.434538245201111,2.5531078457832335,2.563340902328491,3.8953322172164917,3.7932552099227905,4.362612986564636,4.438893795013428,0.9973570640010823,0.99721062489736,0.9979062680336699,0.997994282770702,0.0008509624429769991,0.0007141574324773803,0.001762745127125542,0.0018544156070363638,0.0004902921891761421,0.0004020552572729375,0.0010302975995991868,0.0010887675242663049,True,5,4
screen_video,screen_video_02,frame_wise,geometry,ok,,4,300,4,4,4,29.35742425918579,29.49661922454834,30.67282876968384,30.788692474365234,17.58631420135498,17.510526657104492,18.677316188812256,18.81808853149414,58.12105655670166,58.3179931640625,60.718919563293454,60.981937408447266,0.9796913893479868,0.9797520860938619,0.9803811229389933,0.9804791532088986,0.03661507268409686,0.036247310449516346,0.03906541022818562,0.039340506298192635,0.020845080416681223,0.020788280693527315,0.02200260090923027,0.022095486205282705,True,5,4
screen_video,screen_video_02,optical_flow,geometry,ok,,4,300,4,4,4,29.120040893554688,29.56013298034668,30.039197635650634,30.11638832092285,17.443120002746582,17.5544490814209,18.187324905395506,18.259723663330078,57.671852111816406,58.48686408996582,59.54259204864502,59.70236587524414,0.9797604522900617,0.9796227317981154,0.9803196983875494,0.9804425892860001,0.03625182429300933,0.036802158224844894,0.03764975035136191,0.03765488499561909,0.02063995568159781,0.020815139417360535,0.021482671634728306,0.021541596921255193,True,5,4
screen_video,screen_video_02,proposed,geometry,ok,,4,300,4,4,4,3.560397446155548,3.024041175842285,6.139730823040008,6.620791912078857,3.2103609442710876,2.714742660522461,5.509398138523101,5.959029674530029,5.399720728397369,4.572033762931824,9.61719558238983,10.300296783447266,0.9966927856169095,0.997298567265227,0.9985722044850585,0.9986282098890616,0.0024086689778718418,0.0024394731640721146,0.003868467889425175,0.004053761384102517,0.0013714906460069675,0.0013807519549339162,0.0022136437419558556,0.002321184891485065,True,5,4
scrolling,scrolling_01,frame_wise,geometry,ok,,4,299,4,4,4,33.426992416381836,33.434335708618164,33.855684471130374,33.91932678222656,18.079604148864746,18.03887367248535,18.302387619018553,18.34528923034668,66.7559814453125,66.77731704711914,67.61589202880859,67.74217987060547,0.9788975372633899,0.9789943281447602,0.9793768880035365,0.9794078252305861,0.04068955017010112,0.0407827291674806,0.04210934052535441,0.0422403324567342,0.022764520218402532,0.02280500355123433,0.02360787736245937,0.02369033725316104,True,5,4
scrolling,scrolling_01,optical_flow,geometry,ok,,4,299,4,4,4,72.89779949188232,76.1143798828125,85.33652038574219,85.82942199707031,67.128737449646,71.20735168457031,80.95411987304688,81.44953918457031,114.60320472717285,117.38240432739258,127.55096588134765,128.20594787597656,0.9212515272070825,0.9160219043846137,0.9452581243538019,0.9490175908336754,0.04225954260923581,0.03908259005685066,0.053318357087460674,0.05566724795852096,0.023638385826197327,0.02189033532673003,0.029787105636084235,0.031094181777792003,True,5,4
scrolling,scrolling_01,proposed,geometry,ok,,4,299,4,4,4,578.3390960693359,635.5261077880859,839.7025665283203,842.4498901367188,577.2695236206055,634.2802124023438,838.1930084228516,840.9931030273438,619.0030708312988,681.5321044921875,897.6989074707031,899.70458984375,0.5642031242263417,0.521777521492814,0.7578810523507836,0.7834968746340483,0.03301953736605223,0.03383273706928991,0.049075656052952575,0.05041762699555252,0.018477695126684568,0.018955984998090925,0.027443171702194832,0.028181564414815573,True,5,4
scrolling,scrolling_02,frame_wise,geometry,ok,,4,300,4,4,4,30.184364318847656,30.087735176086426,31.459371471405028,31.688335418701172,16.76514959335327,16.645846366882324,17.273604774475096,17.355911254882812,60.14793395996094,59.93355369567871,62.8531078338623,63.31593322753906,0.9799873248036508,0.9799237507951328,0.980826468415518,0.9809248843111951,0.03572080101419234,0.034389042356651744,0.04035281517404707,0.04121922505081388,0.02049659610484205,0.019810765925282643,0.02294380849638047,0.023361487558989476,True,5,4
scrolling,scrolling_02,optical_flow,geometry,ok,,4,300,4,4,4,86.92357063293457,87.23045349121094,87.54652519226075,87.57836151123047,84.1771297454834,84.41390609741211,84.87499618530273,84.89759826660156,120.79952812194824,120.1146469116211,124.3000259399414,124.80999755859375,0.8971971054992888,0.8971923941878677,0.89786992186663,0.8979709071097793,0.03007010483155209,0.029800924794686212,0.03369572122400908,0.03435359727520737,0.01725192696234175,0.017162655243274056,0.0191304297952416,0.019470311107545803,True,5,4
scrolling,scrolling_02,proposed,geometry,ok,,4,300,4,4,4,801.4821014404297,918.1747741699219,925.2757781982422,926.05078125,798.7062149047852,914.7743530273438,922.0326416015625,922.734375,889.7628326416016,1016.9754638671875,1037.5716186523437,1039.507080078125,0.4432346335653137,0.3890659254712694,0.5822985246472668,0.6160212948075547,0.03318497598450171,0.028499378875643022,0.04924593064791149,0.05239353455366014,0.019035230274959174,0.016326618257237795,0.02816553475722982,0.02993294249904605,True,5,4
static,static_01,frame_wise,geometry,ok,,4,300,4,4,4,33.540921211242676,33.301841735839844,34.95020713806152,35.15072250366211,19.304891109466553,18.808429718017578,21.451344299316407,21.75605583190918,66.49972915649414,66.13050079345703,68.93275985717773,69.17057037353516,0.9785167072711487,0.9782973104604473,0.9798024174318598,0.9800026814033089,0.03761739510821499,0.03709314101867511,0.041516109973852675,0.042072912424162556,0.02105808153321638,0.02071864304671884,0.023049535526102862,0.02335571896793707,True,5,4
static,static_01,optical_flow,geometry,ok,,4,300,4,4,4,34.87980604171753,33.24169731140137,39.93671379089355,41.044532775878906,19.93381404876709,18.933072090148926,23.915075111389157,24.56443977355957,69.06776523590088,65.73212432861328,78.86492729187012,80.90766906738281,0.9775847086239547,0.9783229872462311,0.9798678573067192,0.9799709839739671,0.038867310555904144,0.03967871599522099,0.04258999149407403,0.04286984206566036,0.02176033061372709,0.02203634388858987,0.023882022043281246,0.02407959633721387,True,5,4
static,static_01,proposed,geometry,ok,,4,300,4,4,4,3.43719345331192,3.0105680227279663,4.836419785022735,5.1114821434021,3.269364595413208,2.8879799842834473,4.660964965820312,4.93006706237793,4.635576486587524,4.081989526748657,6.207495021820067,6.5795578956604,0.9957726298166587,0.9962755026584376,0.9966095681362347,0.9966218180897826,0.001815275205987843,0.001634955756036116,0.0031408215352095475,0.0033700960852618422,0.001015183163570894,0.0009196705281326401,0.0017486172554545027,0.001872529240144064,True,5,4
static,static_02,frame_wise,geometry,ok,,4,300,4,4,4,33.29982948303223,32.96066856384277,35.4434700012207,35.840328216552734,17.87906837463379,17.769542694091797,19.0298189163208,19.205480575561523,66.5098991394043,65.81585311889648,70.7844985961914,71.58309936523438,0.9803902612916436,0.980229190820954,0.9815741489529493,0.9817322092905338,0.03951675292073409,0.03974007282208181,0.04156532473759082,0.04179962846759744,0.0219946582211197,0.022162309141086765,0.02310362389844232,0.023231288949348096,True,5,4
static,static_02,optical_flow,geometry,ok,,4,300,4,4,4,33.704999923706055,33.74738121032715,35.083071899414065,35.149932861328125,19.003177642822266,18.502554893493652,21.451838493347168,21.907133102416992,66.7710018157959,66.2919807434082,69.75037498474121,70.21065521240234,0.9790837554783243,0.9800581169361979,0.9810764349732806,0.9812006771343921,0.0420531504698724,0.04009359565157633,0.0485065080804275,0.04998161455413319,0.023413303986784588,0.022291591437753243,0.027104228148938005,0.027949719064490515,True,5,4
static,static_02,proposed,geometry,ok,,4,300,4,4,4,1.9141537845134735,1.866866946220398,2.098409003019333,2.1307246685028076,1.7713741064071655,1.7366600036621094,1.8695820569992065,1.8925693035125732,2.8130152225494385,2.7087960243225098,3.4270773768424987,3.5130200386047363,0.997949995910165,0.9979645703382822,0.9980515360516382,0.9980557957026177,0.0006020115866823272,0.0006067096932008686,0.0007254243685263394,0.0007319215235870313,0.00033516984200746865,0.0003382113907843127,0.00040379142518155253,0.00040709536055019886,True,5,4
weak_border,weak_border_01,frame_wise,geometry,ok,,4,300,4,4,4,287.3244438171387,312.55625915527344,341.30884246826173,344.6014404296875,282.5246467590332,307.2392883300781,335.9431457519531,339.25726318359375,342.4133834838867,372.91900634765625,408.042512512207,411.80731201171875,0.7944713091186552,0.7725183749563165,0.8481591262839339,0.8614465323768645,0.11130051145719982,0.14427864339784457,0.1461361245153477,0.14644560555839936,0.06232433254242103,0.08077831331546476,0.08185661560384504,0.08203763822159946,True,5,4
weak_border,weak_border_01,optical_flow,geometry,ok,,4,300,4,4,4,237.44573879241943,283.70548248291016,339.5210784912109,343.1475830078125,231.6834373474121,278.5102081298828,331.27098693847654,334.97705078125,288.707257270813,341.81300354003906,407.2864227294922,407.8141784667969,0.824047204155462,0.7850273682839528,0.9386014075423125,0.9622761987601374,0.1088533736890463,0.1183556762633784,0.15775611901772574,0.1612024344850791,0.06095822290830279,0.06627993450767777,0.08838307535310574,0.09030429387281473,True,5,4
weak_border,weak_border_01,proposed,geometry,ok,,4,300,4,4,4,206.26935958862305,189.8877410888672,315.22441406249993,334.8226318359375,192.66405487060547,183.17489624023438,283.5557037353515,299.32794189453125,281.96508407592773,248.10694122314453,442.2396423339843,469.6022644042969,0.8186776252966962,0.8287133255614596,0.8971238012566634,0.9041034483481952,0.01485816022345765,0.014545515928864772,0.017400200816130383,0.017616252687329137,0.008318676726412606,0.008141683967513889,0.009754224763831887,0.009876450618229345,True,5,4
weak_border,weak_border_02,frame_wise,geometry,ok,,4,300,4,4,4,2.1857484877109528,1.9667871594429016,2.9690257668495175,3.110259771347046,1.8934881687164307,1.8078760504722595,2.392549705505371,2.4511895179748535,3.6133548617362976,2.962168574333191,5.355601871013641,5.754511833190918,0.99837406427114,0.9983989878667189,0.9988941979836827,0.998950427112851,0.0012513527343305797,0.0003139090169637093,0.0036767396069610535,0.004253291690024197,0.0006919052238613877,0.00017446089920247347,0.002030892404836936,0.0023491096144154728,True,5,4
weak_border,weak_border_02,optical_flow,geometry,ok,,4,300,4,4,4,31.154689073562622,28.035346031188965,54.80260925292968,57.9269905090332,30.26994276046753,27.185108184814453,53.92473354339599,57.02690124511719,38.46590709686279,33.88888645172119,65.97861518859862,69.7632827758789,0.9758521956808626,0.9785211859111436,0.9913054112876137,0.9923794274220028,0.005265280158783137,0.004316864654476227,0.011069002037859776,0.011656792145667838,0.0029202028566327753,0.0023857863045517037,0.0061472239461347325,0.006477822286333424,True,5,4
weak_border,weak_border_02,proposed,geometry,ok,,4,300,4,4,4,126.04499816894531,137.30384063720703,147.5330467224121,148.43505859375,108.91010665893555,114.29969787597656,134.74758415222166,136.91604614257812,200.52915954589844,218.2845916748047,250.52705612182618,252.1559600830078,0.8926742158832729,0.8882214255961206,0.928635632967074,0.9336047807571892,0.014340227067073552,0.014814985887949828,0.02439496655145051,0.026060708069261418,0.007948878868291947,0.008233507319783478,0.0134810814934581,0.014393430863809063,True,5,4
