No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,figure_01_pipeline.png,2194,764,2.87,2.87,pixel,1,,bitmap,True,True,645.3,Ultra-wide,1160x404,1160x176
2,figure_05_qualitative.png,2194,2329,0.94,0.94,pixel,1,,bitmap,True,True,3006.8,Near square,565x600,575x600
