metric,field,direction,method,n,median,q1,q3,mean,std
geometry,corner_rmse_px,lower,proposed,10,158.9364881515503,3.467994451522827,202.6590142250061,210.73906058967114,271.78542713158583
geometry,quad_iou,higher,proposed,10,0.8706648088963176,0.8261720694498627,0.9964627466668469,0.8403872878135165,0.19304329090757336
geometry,aspect_relative_error,diagnostic,proposed,10,0.008133777797352276,0.0011042600341799125,0.01889584648789052,0.012120946080095844,0.01261455403197671
temporal,translation_px,lower,proposed,10,2.9360890953477856,0.027000196345002572,3.798986299233718,2.2809762287017534,2.0628986666934943
temporal,rotation_abs_deg,diagnostic,proposed,10,0.0050993133662633515,0.0001761636720175735,0.012334642530427773,0.0075460675237159535,0.00882312622445739
temporal,scale_abs_delta,diagnostic,proposed,10,0.00032100251788749805,9.165324096211627e-06,0.0006096139115737702,0.0003839451971416284,0.0004303225576001064
detail,edge_preservation_index,higher,proposed,0,,,,,
detail,gradient_magnitude_ratio,diagnostic,proposed,0,,,,,
frequency,fft_orthogonality_error_deg,diagnostic,proposed,0,,,,,
geometry,corner_rmse_px,lower,no_reliability_gates,10,35.62507629394531,3.505888357758522,47.85285663604736,172.04777299165727,321.4130368786016
geometry,quad_iou,higher,no_reliability_gates,10,0.9683316124772136,0.9619499019014743,0.9963231791521978,0.875374479935225,0.22589190238330129
geometry,aspect_relative_error,diagnostic,no_reliability_gates,10,0.001889309896139287,0.001055521473601124,0.008901985634361953,0.0067700858685405905,0.008747608711730026
temporal,translation_px,lower,no_reliability_gates,10,5.202588097472146,3.549232299347004,6.16479662034398,5.48133329402296,2.386021529571641
temporal,rotation_abs_deg,diagnostic,no_reliability_gates,10,0.023762587991627865,0.011887111218390319,0.036085414602198176,0.027491982768924162,0.021196159140852273
temporal,scale_abs_delta,diagnostic,no_reliability_gates,10,0.0015903878042708266,0.0006682941724823637,0.0032074850523405507,0.0022114019621975595,0.0020515117654830977
detail,edge_preservation_index,higher,no_reliability_gates,0,,,,,
detail,gradient_magnitude_ratio,diagnostic,no_reliability_gates,0,,,,,
frequency,fft_orthogonality_error_deg,diagnostic,no_reliability_gates,0,,,,,
geometry,corner_rmse_px,lower,no_trajectory_smoothing,10,158.93638134002686,2.8201202377676964,202.6589550971985,210.73725850582122,272.18356444348177
geometry,quad_iou,higher,no_trajectory_smoothing,10,0.8706648088963176,0.8261720694498627,0.9970334840234261,0.8405747258367265,0.19323303848500575
geometry,aspect_relative_error,diagnostic,no_trajectory_smoothing,10,0.008133763614923753,0.0010396531158747596,0.019321220919355245,0.01220487059504512,0.012683401315647564
temporal,translation_px,lower,no_trajectory_smoothing,10,3.0675568258393264,0.08962682694909235,3.95967220269074,2.420660610102723,2.128760301608127
temporal,rotation_abs_deg,diagnostic,no_trajectory_smoothing,10,0.00771496992844856,0.000413438892733234,0.012917519918706887,0.008464311256146249,0.00884196225852204
temporal,scale_abs_delta,diagnostic,no_trajectory_smoothing,10,0.0005524845173239489,4.8271253822633714e-05,0.0007914734922991468,0.0005086186012929548,0.00046100919593148953
detail,edge_preservation_index,higher,no_trajectory_smoothing,0,,,,,
detail,gradient_magnitude_ratio,diagnostic,no_trajectory_smoothing,0,,,,,
frequency,fft_orthogonality_error_deg,diagnostic,no_trajectory_smoothing,0,,,,,
geometry,corner_rmse_px,lower,no_offline_repair,10,158.9364881515503,3.467994451522827,202.6590142250061,210.72700767219067,271.7673158393186
geometry,quad_iou,higher,no_offline_repair,10,0.8706648088963176,0.8261720694498627,0.9964627466668469,0.840394048346577,0.19303254491000316
geometry,aspect_relative_error,diagnostic,no_offline_repair,10,0.008133777797352276,0.0011042600341799125,0.018902830216917205,0.012123739571706519,0.012616121140373353
temporal,translation_px,lower,no_offline_repair,10,2.936413192564663,0.027000196345002572,3.798986299233718,2.2810410481451293,2.0629317517889962
temporal,rotation_abs_deg,diagnostic,no_offline_repair,10,0.00509754361494171,0.0001761636720175735,0.012334642530427773,0.007545713573451625,0.008823353873001505
temporal,scale_abs_delta,diagnostic,no_offline_repair,10,0.0003220609912829008,9.165324096211627e-06,0.0006096139115737702,0.00038415689182070905,0.0004302537408033208
detail,edge_preservation_index,higher,no_offline_repair,0,,,,,
detail,gradient_magnitude_ratio,diagnostic,no_offline_repair,0,,,,,
frequency,fft_orthogonality_error_deg,diagnostic,no_offline_repair,0,,,,,
