method,video_path,summary_path,translation_p95_px_all,rotation_p95_deg_all,scale_delta_p95_all,translation_p95_px_last2s,rotation_p95_deg_last2s,scale_delta_p95_last2s
逐帧检测角点,runs/verify_old_detect_current/VID20260621024117_normalized.mp4,runs/analyze_old_tracker_modes_current/stability_summary.json,2.490157705734118,0.059524191823572326,0.0011790606619503097,1.9267195487268072,0.04251151011262497,0.0010790476067146558
普通光流跟踪,runs/verify_old_flow_current/VID20260621024117_normalized.mp4,runs/analyze_old_tracker_modes_current/stability_summary.json,2.4399907700681713,0.046651021472568374,0.0007872121833817081,1.9292264523717204,0.026338501094769203,0.0005886297111645786
参考平面跟踪,runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,runs/analyze_proposal_best_geometry_gate/stability_summary.json,0.14617981126776763,0.0047125308515029475,0.00015131603628229517,0.11792940200819119,0.004403056677140965,0.00011837543392937409
