video,frame,time_seconds,ok,reason,feature_count,tracked_count,inlier_count,inlier_ratio,inlier_coverage_x,inlier_coverage_y,translation_x_px,translation_y_px,translation_px,rotation_deg,scale,scale_delta
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,1,0.01662607770169143,True,ok,800,800,800,1.0,0.6254559755325317,0.7581093311309814,0.023315251358371036,0.023292338265281716,0.03295654666023625,3.37896204455964e-05,0.999953428315122,-4.657168487798291e-05
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,2,0.03325215540338286,True,ok,800,800,796,0.995,0.6215476989746094,0.7574142217636108,-0.02492461384225393,0.0022664733726713293,0.02502745046413047,-0.001956859978591145,1.0000149665070732,1.496650707322189e-05
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,3,0.0498782331050743,True,ok,800,800,800,1.0,0.623866617679596,0.7571825981140137,-0.0017833054453643194,-0.0008893296257577416,0.0019927582629903806,0.0007785582184751262,1.0000065777003906,6.577700390586472e-06
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,4,0.06650431080676572,True,ok,800,800,800,1.0,0.6245700716972351,0.7571825981140137,-0.005261324082263624,-0.006856081473583575,0.008642186313139927,-0.0004989133315426009,1.0000168769582118,1.6876958211842208e-05
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,5,0.08313038850845716,True,ok,800,800,800,1.0,0.6130797266960144,0.7581093311309814,0.013570302436084293,-0.010537424738553347,0.017181106725920523,0.0018415735712625783,0.9999998089746853,-1.910253146775176e-07
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,6,0.0997564662101486,True,ok,800,800,800,1.0,0.6091974973678589,0.759036123752594,0.002100497931801353,0.011054480993374263,0.011252272730180984,-0.0005782028370038144,0.9999898630428928,-1.0136957107165223e-05
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,7,0.11638254391184003,True,ok,800,800,800,1.0,0.6093538403511047,0.7581093311309814,-0.006465350423823818,-0.00012197077195998801,0.006466500829045902,-0.0007723996502068634,0.9999990944478634,-9.055521366096997e-07
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,8,0.13300862161353144,True,ok,800,800,800,1.0,0.6071130633354187,0.7572288513183594,0.010752723692690305,-0.012999934227961085,0.016870665569047878,0.0019612026998200734,1.0000061539594303,6.153959430266198e-06
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,9,0.14963469931522289,True,ok,800,800,800,1.0,0.6071130633354187,0.7581093311309814,-0.016746487418624778,-0.0036567393652612024,0.017141078835581174,-0.0006323007353515917,1.000015752964837,1.5752964837023598e-05
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,10,0.16626077701691433,True,ok,800,800,800,1.0,0.6130276322364807,0.7581556439399719,0.010185480278167342,0.011964850149886505,0.015713104327476954,-0.0006865432771829619,0.9999754739452424,-2.4526054757556537e-05
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,11,0.18288685471860575,True,ok,800,800,800,1.0,0.6160239577293396,0.7571825981140137,-0.019461144298499433,0.00014198903295259413,0.019461662269510686,-0.0007677165597103821,1.0000292312661208,2.9231266120754995e-05
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,12,0.1995129324202972,True,ok,800,800,800,1.0,0.615554928779602,0.7563021183013916,0.0035421133842906682,-0.009696287366758621,0.010323010991272552,0.0007707864250032335,0.9999915426835037,-8.457316496346401e-06
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,13,0.2161390101219886,True,ok,800,800,800,1.0,0.6087024211883545,0.7572752237319946,0.0010312844398548,0.010336662078046382,0.010387980097767265,0.00021830739726063552,0.9999902625594873,-9.737440512691542e-06
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,14,0.23276508782368005,True,ok,800,800,800,1.0,0.6181083917617798,0.7581093311309814,0.011338531788227413,0.0022011993157103503,0.011550219977997269,0.0007123741602658823,0.9999963376825864,-3.6623174135552716e-06
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,15,0.24939116552537147,True,ok,800,800,800,1.0,0.6094319820404053,0.7581093311309814,-0.011460425943986878,0.007209928536925023,0.013539735312227241,-0.0006342727393463544,0.9999866149960076,-1.3385003992394395e-05
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,16,0.2660172432270629,True,ok,800,800,799,0.99875,0.6181865930557251,0.7572752237319946,0.010858794544233413,0.0014220397640464276,0.010951512043750057,0.0005315222883990454,0.9999990231039039,-9.768960961276107e-07
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,17,0.2826433209287543,True,ok,800,800,799,0.99875,0.6201146841049194,0.7571825981140137,-0.01798894388123451,-0.0043683515145782215,0.018511742136198914,-0.001422795602995652,0.9999991638339673,-8.361660327471654e-07
/Users/cr/Codes/screen-normalize/runs/proposal_best_geometry_gate/VID20260621024117_normalized.mp4,18,0.29926939863044577,True,ok,800,800,800,1.0,0.6198279857635498,0.7563021183013916,0.02130012169216732,-0.007055954315133776,0.02243839734469447,0.0013776681609486093,1.0000310485168982,3.10485168981689e-05
