category,clip_id,method,metric,status,reason,definition,rows,ok_rows,translation_px_mean,translation_px_p50,translation_px_p95,translation_px_max,rotation_abs_deg_mean,rotation_abs_deg_p50,rotation_abs_deg_p95,rotation_abs_deg_max,scale_abs_delta_mean,scale_abs_delta_p50,scale_abs_delta_p95,scale_abs_delta_max
hard,hard_01,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_01,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_01,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_02,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_02,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_02,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_03,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_03,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_03,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_04,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_04,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_04,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_05,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_05,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_05,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_06,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_06,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_06,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_07,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_07,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_07,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_08,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_08,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_08,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_09,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_09,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_09,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
hard,hard_10,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,8.353794740693312,5.192223103099833,32.95875454617114,68.62640794337717,0.12017603656055123,0.07303519505044645,0.49419890519500054,1.0299833370167755,0.0045255457553142414,0.003319835685060335,0.013059163837749469,0.023431017300955537
hard,hard_10,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,12.310836663696794,8.561511254563642,32.95555733392437,65.87628387219208,0.07981738745649113,0.0591461164280806,0.2009640677949573,0.9931104585376618,0.00762031829012894,0.00555941548534622,0.0212821039799955,0.04986409455145191
hard,hard_10,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,0.026402502109331445,3.282296033180151e-14,3.282296033180151e-14,1.3221635090796846,8.753302258629587e-05,5.838428495717261e-16,5.838428495717261e-16,0.005048384542666595,5.828522185010015e-06,0.0,0.0,0.00037362364679149884
screen_video,screen_video_01,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.8817329087335444,2.9704587403580875,12.123078934278345,17.438535039601653,0.02733722780317076,0.023035575845596058,0.06799880885313758,0.1502368099560097,0.0016058080420332077,0.0011414982093879145,0.004153946579824107,0.026200188787336653
screen_video,screen_video_01,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.3603667037375926,2.643037211139446,11.729647827198153,16.098302431971042,0.014395218509711904,0.011416732319788818,0.054214882046123285,0.07279870495259606,0.0007513074247652529,0.0005372046000691189,0.00239753345138912,0.003478816447014088
screen_video,screen_video_01,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,3.2569149896142906,2.591821396626457,11.72493854877574,15.86070388269927,0.013685249323533542,0.010939682297400525,0.05192639447814512,0.06889589248815821,0.0006321088139551159,0.0003219671710487093,0.0025799211418471957,0.0034780792603918975
screen_video,screen_video_02,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,5.344844846863354,4.473823425586455,12.110200507477172,19.53542771224043,0.026656176451375992,0.021076924867850493,0.07520399474093925,0.1392023172969186,0.0018450060198245241,0.0014040762825046071,0.004449306102516637,0.028965718783757755
screen_video,screen_video_02,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,4.673111710795595,4.074137544189327,11.073869750117568,12.374403140712513,0.012777174702470915,0.003775674237827438,0.06561553438459482,0.08463835152836724,0.0007704307357037207,0.0005450741178376628,0.0023302803874003294,0.003849294866366204
screen_video,screen_video_02,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,299,299,4.45208077639421,3.8317672721800107,10.321725921499771,11.51966575473426,0.011390975037672448,0.003050834404885508,0.05767430613311251,0.08025994201547758,0.0006426871588317369,0.0004954994949669667,0.0019600574013963943,0.002420685318821336
screen_video,screen_video_03,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,298,298,16.88927036678041,5.124762376823281,95.22044467065777,260.41274972890204,0.8204231750916728,0.04710269302823057,6.2339411244955265,12.322828129957118,0.03049001065288576,0.004211081794358029,0.2049219569479809,0.4016096493960237
screen_video,screen_video_03,optical_flow,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,298,298,4.071620062118601,3.4731188172999516,10.439498621292698,11.934054585517236,0.09971524221055365,0.038088675204925634,0.4206575791758354,0.6232355358203002,0.003359100529428348,0.0014841138474979698,0.012581285413734536,0.019371724986293692
screen_video,screen_video_03,proposed,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,298,298,3.0980729561088807,2.367089558341948,8.153562607342504,9.14512198718221,0.016385647261341858,0.014048464248650711,0.047119299240927864,0.05973972907873403,0.0006614265694590959,0.00047818292643642124,0.001669961568902122,0.0019686443708123447
screen_video,screen_video_04,frame_wise,temporal,ok,,frame-to-frame projective motion of the estimated screen quadrilateral,298,298,5.065674769946292,3.138816359536983,17.321749303622806,37.9291100822133,0.05080270621761682,0.024567967321737876,0.12827891193162805,1.9998935039363828,0.0030075506009785767,0.0018027725768400282,0.008512370763456211,0.03575013735153254
